ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
5A8,medium_airport,Aleknagik / New Airport,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8,"59.2826004028, -158.617996216"
AGGH,medium_airport,Honiara International Airport,28,OC,SB,SB-CT,Honiara,AGGH,HIR,,"-9.4280004501343, 160.05499267578"
AGGM,medium_airport,Munda Airport,10,OC,SB,SB-WE,,AGGM,MUA,,"-8.327969551086426, 157.26300048828125"
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,CN-51,Aba,ZUHY,AHJ,,"32.53154, 102.35224"
ANYN,medium_airport,Nauru International Airport,22,OC,NR,NR-14,Yaren District,ANYN,INU,,"-0.547458, 166.919006"
AU-0121,medium_airport,YKCY,400,OC,AU,AU-QLD,Kilcoy,,,,"-26.971197, 152.566855"
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560,AS,CN,CN-15,Bayanhot,ZBAL,AXF,,"38.74831, 105.58858"
AYBK,medium_airport,Buka Airport,11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,,"-5.4223198890686035, 154.67300415039062"
AYCH,medium_airport,Chimbu Airport,4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,,"-6.024290084838867, 144.9709930419922"
AYDU,medium_airport,Daru Airport,20,OC,PG,PG-WPD,Daru,AYDU,DAU,,"-9.08675956726, 143.207992554"
AYGA,medium_airport,Goroka Airport,5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,,"-6.081689834590001, 145.391998291"
AYGN,medium_airport,Gurney Airport,88,OC,PG,PG-MBA,Gurney,AYGN,GUR,,"-10.3114995956, 150.333999634"
AYGR,medium_airport,Girua Airport,311,OC,PG,PG-NPP,Popondetta,AYGR,PNP,,"-8.80453968048, 148.309005737"
AYHK,medium_airport,Kimbe Airport,66,OC,PG,PG-WBK,Hoskins,AYHK,HKN,,"-5.462170124053955, 150.40499877929688"
AYKM,medium_airport,Kerema Airport,10,OC,PG,PG-GPK,Kerema,AYKM,KMA,,"-7.96361017227, 145.770996094"
AYKV,medium_airport,Kavieng Airport,7,OC,PG,PG-NIK,Kavieng,AYKV,KVG,,"-2.57940006256, 150.807998657"
AYMD,medium_airport,Madang Airport,20,OC,PG,PG-MPM,Madang,AYMD,MAG,,"-5.20707988739, 145.789001465"
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388,OC,PG,PG-WHM,Mount Hagen,AYMH,HGU,,"-5.826789855957031, 144.29600524902344"
AYMN,medium_airport,Mendi Airport,5680,OC,PG,PG-SHM,Mendi,AYMN,MDU,,"-6.14774, 143.656998"
AYMO,medium_airport,Momote Airport,12,OC,PG,PG-MRL,Manus Island,AYMO,MAS,,"-2.06189, 147.423996"
AYNZ,medium_airport,Nadzab Airport,239,OC,PG,PG-MPL,Lae,AYNZ,LAE,,"-6.569803, 146.725977"
AYPY,large_airport,Port Moresby Jacksons International Airport,146,OC,PG,PG-NCD,Port Moresby,AYPY,POM,,"-9.443380355834961, 147.22000122070312"
AYTK,medium_airport,Tokua Airport,32,OC,PG,PG-EBR,Tokua,AYTK,RAB,,"-4.34045982361, 152.380004883"
AYVN,medium_airport,Vanimo Airport,10,OC,PG,PG-SAN,Vanimo,AYVN,VAI,,"-2.6926, 141.3028"
AYWD,medium_airport,Wapenamanda Airport,5889,OC,PG,PG-EPW,,AYWD,WBM,,"-5.6433000564575195, 143.89500427246094"
AYWK,medium_airport,Wewak International Airport,19,OC,PG,PG-ESW,Wewak,AYWK,WWK,,"-3.58383011818, 143.669006348"
AZ-0001,medium_airport,Zabrat Airport,36,AS,AZ,AZ-BA,Baku,UBTT,ZXT,,"40.4955422161, 49.9768066406"
AZ-0013,medium_airport,Sital Chay Airport,,AS,AZ,AZ-XIZ,,,,,"40.8073129238, 49.431481361399996"
AZ-0021,medium_airport,Kyzylagadzh Air Base,,AS,AZ,AZ-MAS,,,,,"39.006162267899995, 48.806312084199995"
BCW,medium_airport,Benguera Island Airport,,AF,MZ,MZ-I,Benguera Island,,BCW,,"-21.853300094604492, 35.43830108642578"
BG-JAM,medium_airport,Bezmer Air Base,509,EU,BG,BG-28,Yambol,LBIA,JAM,,"42.4548988342, 26.3521995544"
BGAA,medium_airport,Aasiaat Airport,74,NA,GL,GL-U-A,Aasiaat,BGAA,JEG,,"68.7218017578, -52.7846984863"
BGBW,medium_airport,Narsarsuaq Airport,112,NA,GL,GL-U-A,Narsarsuaq,BGBW,UAK,,"61.1604995728, -45.4259986877"
BGGH,medium_airport,Godthaab / Nuuk Airport,283,NA,GL,GL-U-A,Nuuk,BGGH,GOH,,"64.19090271, -51.6781005859"
BGSF,medium_airport,Kangerlussuaq Airport,165,NA,GL,GL-U-A,Kangerlussuaq,BGSF,SFJ,,"67.0122218992, -50.7116031647"
BGTL,medium_airport,Thule Air Base,251,NA,GL,GL-U-A,Thule,BGTL,THU,,"76.5311965942, -68.7032012939"
BIAR,medium_airport,Akureyri Airport,6,EU,IS,IS-6,Akureyri,BIAR,AEY,,"65.66000366210938, -18.07270050048828"
BIEG,medium_airport,Egilsstaðir Airport,76,EU,IS,IS-7,Egilsstaðir,BIEG,EGS,,"65.2833023071289, -14.401399612426758"
BIHN,medium_airport,Hornafjörður Airport,24,EU,IS,IS-8,Höfn,BIHN,HFN,,"64.295601, -15.2272"
BIHU,medium_airport,Húsavík Airport,48,EU,IS,IS-6,Húsavík,BIHU,HZK,,"65.952301, -17.426001"
BIIS,medium_airport,Ísafjörður Airport,8,EU,IS,IS-4,Ísafjörður,BIIS,IFJ,,"66.05809783935547, -23.135299682617188"
BIKF,large_airport,Keflavik International Airport,171,EU,IS,IS-2,Reykjavík,BIKF,KEF,,"63.985000610352, -22.605600357056"
BIRK,medium_airport,Reykjavik Airport,48,EU,IS,IS-1,Reykjavik,BIRK,RKV,,"64.1299972534, -21.9405994415"
BISI,medium_airport,Siglufjörður Airport,10,EU,IS,IS-6,Siglufjörður,BISI,SIJ,,"66.133301, -18.9167"
BIVM,medium_airport,Vestmannaeyjar Airport,326,EU,IS,IS-8,Vestmannaeyjar,BIVM,VEY,,"63.42430114746094, -20.278900146484375"
BKPR,large_airport,Priština International Airport,1789,EU,XK,XK-01,Prishtina,BKPR,PRN,,"42.5728, 21.035801"
BY-0001,medium_airport,Balbasovo Air Base,620,EU,BY,BY-VI,Orsha,,,,"54.439998626708984, 30.29669952392578"
BY-0003,medium_airport,Bobrovichi Air Base,440,EU,BY,BY-HO,Kalinovichi,,,,"52.27830123901367, 29.360000610351562"
BY-0006,medium_airport,Osovtsy Air Base,,EU,BY,BY-BR,Byaroza,UMMO,,,"52.5569992065, 24.884000778199997"
BZ-BGK,medium_airport,Big Creek Airport,3,NA,BZ,BZ-SC,Big Creek,,BGK,,"16.51936912536621, -88.40791320800781"
BZ-CUK,medium_airport,Caye Caulker Airport,1,NA,BZ,BZ-BZ,Caye Caulker,,CUK,,"17.734699249267578, -88.03250122070312"
BZ-CYC,medium_airport,Caye Chapel Airport,3,NA,BZ,BZ-BZ,Caye Chapel,,CYC,,"17.7007999420166, -88.04109954833984"
BZ-CZH,medium_airport,Corozal Municipal Airport,40,NA,BZ,BZ-CZL,Corozal,,CZH,,"18.382200241088867, -88.41190338134766"
BZ-DGA,medium_airport,Dangriga Airport,508,NA,BZ,BZ-SC,Dangriga,,DGA,,"16.98250961303711, -88.23098754882812"
BZ-PLJ,medium_airport,Placencia Airport,3,NA,BZ,BZ-SC,Placencia,,PLJ,,"16.536956787109375, -88.36151123046875"
BZ-PND,medium_airport,Punta Gorda Airport,7,NA,BZ,BZ-TOL,Punta Gorda,,PND,,"16.102399826, -88.80829620360001"
BZ-SJX,medium_airport,Sartaneja Airport,3,NA,BZ,BZ-CZL,Sartaneja,,SJX,,"18.35610008239746, -88.13079833984375"
BZ-SPR,medium_airport,San Pedro Airport,4,NA,BZ,BZ-CY,San Pedro,MZSP,SPR,,"17.9139, -87.9711"
BZ-TZA,medium_airport,Belize City Municipal Airport,16,NA,BZ,BZ-BZ,Belize City,,TZA,,"17.516389846801758, -88.19444274902344"
BZB,medium_airport,Bazaruto Island Airport,,AF,MZ,MZ-I,Bazaruto Island,,BZB,,"-21.5411, 35.4729"
CA-0671,large_airport,Cyll,,NA,CA,CA-U-A,,,,,"53.310365, -110.072021"
CA-0673,medium_airport,Cycd,,NA,CA,CA-BC,Nanaimo,,,,"49.05497, -123.87085"
CN-0002,medium_airport,Nanjing Air Base,,AS,CN,CN-32,Nanjing,,,,"31.998300552368164, 118.81199645996094"
CN-0003,medium_airport,Laohutun Air Base,,AS,CN,CN-21,,,,,"39.66999816894531, 121.76599884033203"
CN-0004,medium_airport,Pulandian Air Base,,AS,CN,CN-21,,,,,"39.45090103149414, 122.01799774169922"
CN-0006,medium_airport,Beijing Shahezhen Air Base,,AS,CN,CN-11,Beijing,,,,"40.149166107177734, 116.3213882446289"
CN-0007,medium_airport,Beijing Tongxian Air Base,,AS,CN,CN-11,Beijing,,,,"39.81111145019531, 116.70833587646484"
CN-0010,medium_airport,Yinchuan Hedong International Airport,,AS,CN,CN-64,Yinchuan,ZLIC,INC,,"38.322758, 106.393214"
CN-0012,medium_airport,Yuanmou Air Base,3810,AS,CN,CN-53,Yuanmou,ZPYM,YUA,,"25.737499237061, 101.88200378418"
CN-0013,medium_airport,Fengning Air Base,,AS,CN,CN-13,,,,,"41.260799407958984, 116.61799621582031"
CN-0014,medium_airport,Hohhot Air Base,,AS,CN,CN-15,,,,,"40.73720169067383, 111.22899627685547"
CN-0015,medium_airport,Huairen Air Base,3260,AS,CN,CN-14,Datong,,,,"39.717498779299994, 113.142997742"
CN-0016,medium_airport,Liangxiangzhen Air Base,,AS,CN,CN-11,Beijing,,,,"39.7578010559082, 116.1259994506836"
CN-0018,medium_airport,Tangguantun Air Base,,AS,CN,CN-12,,,,,"38.78110122680664, 117.06800079345703"
CN-0020,medium_airport,Wenshui Air Base,,AS,CN,CN-14,,,,,"37.407798767089844, 111.96600341796875"
CN-0021,medium_airport,Yangcun Air Base,,AS,CN,CN-12,,,,,"39.37329864501953, 117.09500122070312"
CN-0022,medium_airport,Yongning Air Base,,AS,CN,CN-11,Yongning,,,,"40.50310134887695, 116.10800170898438"
CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,2347,AS,CN,CN-13,Zhangjiakou,ZBZJ,ZQZ,,"40.7386016846, 114.930000305"
CN-0025,medium_airport,Zunhua Air Base,,AS,CN,CN-13,,,,,"40.102500915527344, 117.88700103759766"
CN-0026,medium_airport,Chengdu Air Base,,AS,CN,CN-51,,,,,"30.705299377441406, 103.94999694824219"
CN-0027,medium_airport,Baoshan Yunduan Airport,5453,AS,CN,CN-53,,ZPBS,BSD,,"25.053301, 99.168297"
CN-0030,medium_airport,Chongqing Air Base,,AS,CN,CN-50,Chongqing,,,,"29.49530029296875, 106.35900115966797"
CN-0040,medium_airport,Lintsang Airfield,6230,AS,CN,CN-53,Lincang,ZPLC,LNJ,,"23.738100051900002, 100.025001526"
CN-0041,medium_airport,Luliang Air Base,,AS,CN,CN-53,,,,,"24.988300323486328, 103.64199829101562"
CN-0043,medium_airport,Mengzi Air Base,,AS,CN,CN-53,,,,,"23.395299911499023, 103.33399963378906"
CN-0045,medium_airport,Qionglai Air Base,,AS,CN,CN-51,,,,,"30.489999771118164, 103.46499633789062"
CN-0046,medium_airport,Shigatse Air Base,3782,AS,CN,CN-54,Xigazê,ZURK,RKZ,,"29.3519, 89.311401"
CN-0048,medium_airport,Wenshan Air Base,,AS,CN,CN-53,,,,,"23.715599060058594, 103.8270034790039"
CN-0049,medium_airport,Xiangyun Midu Air Base,,AS,CN,CN-53,,,,,"25.44529914855957, 100.73500061035156"
CN-0050,medium_airport,Bao'anying Airport,1620,AS,CN,CN-51,Panzhihua,ZUZH,PZI,,"26.54, 101.79852"
CN-0053,medium_airport,Baihe Ning Ming Air Base,,AS,CN,CN-45,,,,,"22.1205997467041, 107.125"
CN-0055,medium_airport,Changsha Datuopu Airport/AFB,170,AS,CN,CN-43,Changsha,ZGCS,,,"28.0688991547, 112.958000183"
CN-0056,medium_airport,Dangyang Air Base,,AS,CN,CN-42,,,,,"30.798599243164062, 111.80999755859375"
CN-0057,medium_airport,Foluo Northeast Air Base,,AS,CN,CN-46,,,,,"18.69219970703125, 109.16100311279297"
CN-0061,medium_airport,Foshan Shadi Airport,6,AS,CN,CN-44,Foshan,ZGFS,FUO,,"23.083299636799996, 113.069999695"
CN-0063,medium_airport,Guiping Mengshu Air Base,,AS,CN,CN-45,,,,,"23.330799102783203, 110.00900268554688"
CN-0068,medium_airport,Huizhou Airport,50,AS,CN,CN-44,Huizhou,ZGHZ,HUZ,,"23.0499992371, 114.599998474"
CN-0069,medium_airport,Jialaishi Air Base,,AS,CN,CN-46,,,,,"19.697200775146484, 109.72599792480469"
CN-0071,medium_airport,Leiyang Air Base,,AS,CN,CN-43,,,,,"26.587200164794922, 112.89199829101562"
CN-0072,medium_airport,Lingshui Air Base,,AS,CN,CN-46,,,,,"18.494400024414062, 109.98799896240234"
CN-0074,medium_airport,Shangqiu Air Base,,AS,CN,CN-41,Shangqiu,,,,"34.449507, 115.459261"
CN-0076,medium_airport,Zhengzhou Air Base,,AS,CN,CN-41,,,,,"34.86125, 113.729631"
CN-0079,medium_airport,Shaoguan Guitou Airport,280,AS,CN,CN-44,Shaoguan,,HSC,,"24.9785995483, 113.42099762"
CN-0080,medium_airport,Suixi Air Base,,AS,CN,CN-44,,,,,"21.39579963684082, 110.19999694824219"
CN-0081,medium_airport,Jinggangshan Airport,281,AS,CN,CN-36,Ji'an,ZSJA,JGS,,"26.856899261499997, 114.736999512"
CN-0082,medium_airport,Baise Youjiang Airport,490,AS,CN,CN-45,Baise,ZGBS,AEB,,"23.7206001282, 106.959999084"
CN-0083,large_airport,Guodu air base,,AS,CN,CN-U-A,,,,,"36.001741, 117.63201"
CN-0085,medium_airport,Xiaogan Air Base,,AS,CN,CN-42,,,,,"30.95439910888672, 113.91100311279297"
CN-0089,medium_airport,Baitabu Air Base,,AS,CN,CN-32,,,,,"34.5713996887207, 118.875"
CN-0090,medium_airport,Cangxian Air Base,,AS,CN,CN-13,,,,,"38.40250015258789, 116.92900085449219"
CN-0091,medium_airport,Dongying Shengli Airport,15,AS,CN,CN-37,Dongying,ZSDY,DOY,,"37.5085983276, 118.788002014"
CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,,AS,CN,CN-37,,,,,"36.33060073852539, 120.02400207519531"
CN-0093,medium_airport,Jinan Air Base,,AS,CN,CN-37,,,,,"36.67919921875, 116.9209976196289"
CN-0094,medium_airport,Jiugucheng Air Base,,AS,CN,CN-13,,,,,"37.4900016784668, 116.11799621582031"
CN-0095,medium_airport,Kaifeng Air Base,,AS,CN,CN-41,Kaifeng,,,,"34.75389862060547, 114.33899688720703"
